datum_zobrazeni;datum;kraj_kod;incidence14_100;incidence_65_14_100;simple_r;pozit_perc_test;podil_zachycen_hosp
2020-11-14;2020-11-13;CZ020;1121.690860300000;1165.249682400000;0.643372093023;0.258878023674;
2020-11-14;2020-11-13;CZ031;1491.267429800000;1393.440135900000;0.658687943262;0.321979545848;
2020-11-14;2020-11-13;CZ032;1053.061625800000;966.663881600000;0.580084299262;0.291617004370;
2020-11-14;2020-11-13;CZ041;1016.751282800000;1171.524477300000;0.823378291586;0.357202563388;
2020-11-14;2020-11-13;CZ042;1210.770252000000;1208.466695900000;0.722386953298;0.311964785914;
2020-11-14;2020-11-13;CZ051;1450.111564300000;1241.296465100000;0.707743547044;0.313190862196;
2020-11-14;2020-11-13;CZ052;1424.099106800000;1382.666007800000;0.668666359021;0.303773584905;
2020-11-14;2020-11-13;CZ053;1472.844783000000;1290.474619400000;0.749938590027;0.323548113607;
2020-11-14;2020-11-13;CZ063;1809.290857600000;1544.716226700000;0.857457898957;0.400243309002;
2020-11-14;2020-11-13;CZ064;1086.838888600000;1027.575224200000;0.640122903597;0.290596303615;
2020-11-14;2020-11-13;CZ071;1301.709611300000;1107.419712000000;0.689157649055;0.329011345218;
2020-11-14;2020-11-13;CZ072;1561.740951400000;1344.992129400000;0.636748844375;0.327976190476;
2020-11-14;2020-11-13;CZ080;1303.497845500000;1114.898953100000;0.719838523644;0.257307771593;
2020-11-15;2020-11-14;CZ010;612.107587700000;731.786945600000;0.726669716376;0.167926423172;
2020-11-15;2020-11-14;CZ020;1031.880508900000;1099.970683000000;0.634589252625;0.257480828028;
2020-11-15;2020-11-14;CZ031;1387.709348000000;1330.481218500000;0.619988812231;0.327779968454;
2020-11-15;2020-11-14;CZ032;1017.801352400000;976.689781900000;0.730153649167;0.291427111281;
2020-11-15;2020-11-14;CZ041;910.189232400000;1055.202898000000;0.624108878807;0.291641429436;
2020-11-15;2020-11-14;CZ042;1124.895702000000;1163.892104700000;0.687743190661;0.298614630849;
2020-11-15;2020-11-14;CZ051;1378.439901700000;1215.714190300000;0.695761293920;0.325166167079;
2020-11-15;2020-11-14;CZ052;1349.957490900000;1341.629887600000;0.677356181150;0.305678303137;
2020-11-15;2020-11-14;CZ053;1383.494495400000;1202.809068200000;0.729872084273;0.322152108933;
2020-11-15;2020-11-14;CZ063;1780.652906000000;1526.497972000000;0.818449254044;0.380333951762;
2020-11-15;2020-11-14;CZ064;1052.862065000000;993.210963000000;0.585589069347;0.282051282051;
2020-11-15;2020-11-14;CZ071;1254.717055700000;1089.090006400000;0.668631303208;0.322522901969;
2020-11-15;2020-11-14;CZ072;1455.313232200000;1279.885280000000;0.617155223293;0.332344528022;
2020-11-15;2020-11-14;CZ080;1242.691824200000;1070.469088000000;0.687380952380;0.254249229414;
2020-11-16;2020-11-15;CZ010;589.227178300000;700.333643800000;0.759521484375;0.166150395214;
2020-11-16;2020-11-15;CZ020;978.745124100000;1066.353952800000;0.641849022400;0.252418779916;
2020-11-16;2020-11-15;CZ031;1367.836132900000;1312.276230300000;0.597324288675;0.321631493506;
2020-11-16;2020-11-15;CZ032;1013.902379800000;997.577074100000;0.765056022408;0.287840864181;
2020-11-16;2020-11-15;CZ041;850.120815500000;1025.291634800000;0.615984405458;0.288233505624;
2020-11-16;2020-11-15;CZ042;1076.050745100000;1123.032062700000;0.680657295585;0.297199170124;
2020-11-16;2020-11-15;CZ051;1340.801009700000;1186.795097100000;0.700926202569;0.314392924149;
2020-11-16;2020-11-15;CZ052;1255.875587100000;1270.444781200000;0.657874714684;0.303996249853;
2020-11-16;2020-11-15;CZ053;1330.113916800000;1190.554743800000;0.741952098892;0.319401330376;
2020-11-16;2020-11-15;CZ063;1724.553905000000;1481.431763000000;0.775693311582;0.381200521094;
2020-11-16;2020-11-15;CZ064;1033.482691500000;957.589472800000;0.602512697139;0.281082429230;
2020-11-16;2020-11-15;CZ071;1185.889575400000;1041.738267000000;0.682866961217;0.318306636155;
2020-11-16;2020-11-15;CZ072;1395.576383300000;1204.888782600000;0.632099827882;0.331453068592;
2020-11-16;2020-11-15;CZ080;1190.548578500000;1033.513405700000;0.703402551913;0.256138113241;
2020-11-17;2020-11-16;CZ010;563.099714000000;682.417206100000;0.780222559433;0.166092387207;
2020-11-17;2020-11-16;CZ020;942.503326300000;1051.109156600000;0.714800403516;0.251419302514;
2020-11-17;2020-11-16;CZ031;1351.068107600000;1309.242065600000;0.691447504659;0.351067185364;
2020-11-17;2020-11-16;CZ032;895.237998300000;919.040855500000;0.850216791486;0.290896830748;
2020-11-17;2020-11-16;CZ041;890.505796400000;1124.995845600000;0.812171299774;0.347030497592;
2020-11-17;2020-11-16;CZ042;1043.284427400000;1096.411126300000;0.754239154371;0.302454962910;
2020-11-17;2020-11-16;CZ051;1320.516576800000;1154.539185300000;0.788141470180;0.314776346766;
2020-11-17;2020-11-16;CZ052;1191.885390400000;1264.582478400000;0.717993079584;0.306839186691;
2020-11-17;2020-11-16;CZ053;1326.670008500000;1181.128340400000;0.842963386727;0.331049202426;
2020-11-17;2020-11-16;CZ063;1646.289914100000;1442.118687100000;0.779159519725;0.372259782831;
2020-11-17;2020-11-16;CZ064;1021.569829900000;936.216578600000;0.738222519211;0.286929420167;
2020-11-17;2020-11-16;CZ071;1151.871395400000;1019.589872800000;0.677289836888;0.321041988818;
2020-11-17;2020-11-16;CZ072;1356.781763000000;1156.264679900000;0.679759036144;0.340002410509;
2020-11-17;2020-11-16;CZ080;1142.986608500000;991.990167200000;0.729140978216;0.251678804502;
2020-11-18;2020-11-17;CZ010;524.135056300000;650.167618200000;0.798708590679;0.168005196645;
2020-11-18;2020-11-17;CZ020;882.653823600000;996.775139200000;0.729112694300;0.254220064359;
2020-11-18;2020-11-17;CZ031;1234.002449900000;1202.287760100000;0.601183701343;0.329178611491;
2020-11-18;2020-11-17;CZ032;824.547931000000;837.162670200000;0.846543001686;0.302364101791;
2020-11-18;2020-11-17;CZ041;764.260310000000;990.395161000000;0.571772253408;0.269667170953;
2020-11-18;2020-11-17;CZ042;985.182072300000;1051.836535000000;0.699447259327;0.298418001375;
2020-11-18;2020-11-17;CZ051;1205.796840100000;1071.118724000000;0.701576182136;0.317633999365;
2020-11-18;2020-11-17;CZ052;1134.058555500000;1234.433492100000;0.734052681688;0.326004228329;
2020-11-18;2020-11-17;CZ053;1253.965277700000;1159.447612700000;0.835209505941;0.347786458333;
2020-11-18;2020-11-17;CZ063;1587.248657800000;1398.011333600000;0.749060150375;0.362519899931;
2020-11-18;2020-11-17;CZ064;951.854421400000;854.915765600000;0.721299234646;0.281817518780;
2020-11-18;2020-11-17;CZ071;1046.335925500000;940.161148600000;0.699449035812;0.349772695963;
2020-11-18;2020-11-17;CZ072;1256.877033000000;1085.388869200000;0.733607681755;0.347543540421;
2020-11-18;2020-11-17;CZ080;1068.936536000000;931.781471500000;0.741381951892;0.254577020202;
2020-11-19;2020-11-18;CZ010;483.962192100000;597.214591100000;0.739012642986;0.149877899877;
2020-11-19;2020-11-18;CZ020;789.378121000000;893.188703200000;0.722031447677;0.248167474220;
2020-11-19;2020-11-18;CZ031;1127.494437800000;1102.160325200000;0.654912516823;0.332059505936;
2020-11-19;2020-11-18;CZ032;756.739713000000;759.461943300000;0.875113533151;0.293124429571;
2020-11-19;2020-11-18;CZ041;700.458827600000;948.851739800000;0.571762870514;0.290988487495;
2020-11-19;2020-11-18;CZ042;909.782999200000;981.260098900000;0.751154438173;0.304524180967;
2020-11-19;2020-11-18;CZ051;1119.249926700000;1012.168264600000;0.816470588235;0.340752864157;
2020-11-19;2020-11-18;CZ052;992.482511400000;1148.173892600000;0.692546583850;0.327406199021;
2020-11-19;2020-11-18;CZ053;1149.500059300000;1102.889192600000;0.822797248607;0.336233435952;
2020-11-19;2020-11-18;CZ063;1501.530953500000;1323.220603800000;0.699321954641;0.365156879501;
