date,positive_total,recovered_total,deceased_total,positive_daily,recovered_daily,deceased_daily,active,positive_increase,positive_increase_5d,growth_factor,ones
2020-05-07,1776,1133,89,11.0,17.0,0.0,554,0.006232294617563739,0.004915868920782667,1.2222222222222223,1
2020-05-08,1803,1142,89,27.0,9.0,0.0,572,0.015202702702702704,0.007610189034318013,2.4545454545454546,1
2020-05-09,1814,1154,90,11.0,12.0,1.0,570,0.006100942872989462,0.00802392599601268,0.4074074074074074,1
2020-05-10,1815,1163,91,1.0,9.0,1.0,561,0.0005512679162072767,0.006642498569500836,0.09090909090909091,1
2020-05-11,1829,1173,91,14.0,10.0,0.0,565,0.007713498622589532,0.007160141346410543,14.0,1
2020-05-12,1844,1187,91,15.0,14.0,0.0,566,0.008201202843083653,0.007553922991514525,1.0714285714285714,1
2020-05-13,1859,1203,91,15.0,16.0,0.0,565,0.008134490238611713,0.006140280498696327,1.0,1
2020-05-14,1874,1220,92,15.0,17.0,1.0,562,0.008068854222700376,0.00653386276863851,1.0,1
2020-05-15,1887,1231,92,13.0,11.0,0.0,564,0.006937033084311633,0.007811015802259383,0.8666666666666667,1
2020-05-16,1917,1237,93,30.0,6.0,1.0,587,0.01589825119236884,0.009447966316215242,2.3076923076923075,1
2020-05-17,1927,1239,93,10.0,2.0,0.0,595,0.005216484089723527,0.008851022565543218,0.3333333333333333,1
2020-05-18,1942,1252,93,15.0,13.0,0.0,597,0.007784120394395433,0.00878094859669996,1.5,1
2020-05-19,1954,1258,93,12.0,6.0,0.0,603,0.006179196704428424,0.008403017093045573,0.8,1
2020-05-20,1962,1273,93,8.0,15.0,0.0,596,0.0040941658137154556,0.007834443638926335,0.6666666666666666,1
2020-05-21,1974,1285,93,12.0,12.0,0.0,596,0.0061162079510703364,0.0058780349906666345,1.5,1
2020-05-22,1984,1291,93,10.0,6.0,0.0,600,0.005065856129685917,0.005847909398659114,0.8333333333333334,1
